,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,cluster_sub,cluster_uni,대학 수 ,동,구시군,지하철 수 ,대학 수,cluster_rate_k,cluster_rate_t,cluster_h_r,cluster_h,위도,경도
0,17,29,829,937,12,13,0,0,0,0,0,개포1동,강남구,0,0,1,1,1,1,37.481054,127.0537081
1,152,57,9853,4191,61,28,1,1,1,2,2,개포2동,강남구,3,0,0,0,0,0,37.4897742,127.0691197
2,91,57,4408,3308,91,41,2,1,2,2,1,개포4동,강남구,0,0,2,2,1,1,37.4789985,127.0516566
3,93,81,5141,5967,112,45,1,1,1,2,2,논현1동,강남구,4,0,0,0,1,1,37.5115546,127.0284464
4,102,76,4171,4824,87,40,2,1,1,2,2,논현2동,강남구,4,1,0,0,1,1,37.5173754,127.0371963
5,33,41,2965,3610,27,16,2,0,0,0,0,대치1동,강남구,2,0,2,2,0,0,37.4932911,127.0568027
6,80,91,6859,7825,51,38,1,1,1,2,2,대치2동,강남구,3,0,0,0,2,2,37.5023067,127.0642127
7,63,50,4592,5101,53,31,2,1,2,2,1,대치4동,강남구,2,0,0,0,1,1,37.5000976,127.0579215
8,112,80,2929,3583,68,15,2,0,0,0,0,도곡1동,강남구,1,0,2,2,0,0,37.4894218,127.0383343
9,148,91,3883,4652,63,35,2,1,2,2,1,도곡2동,강남구,3,0,0,0,2,2,37.486423,127.045433
10,73,45,1956,2392,43,26,0,0,0,0,0,삼성1동,강남구,3,0,2,2,0,0,37.51434254999999,127.0625466314373
11,164,99,5861,5404,100,53,1,2,1,1,2,삼성2동,강남구,3,0,0,0,0,0,37.5111921,127.0459885
12,251,186,5417,6506,160,68,1,2,1,1,2,세곡동,강남구,0,0,0,0,2,2,37.46913105,127.1069304712163
13,93,147,1802,2137,88,28,0,1,2,2,1,수서동,강남구,1,0,1,1,0,0,37.4824493,127.0780991
14,57,84,2158,2711,57,17,0,0,0,0,0,신사동,강남구,3,0,2,2,0,0,37.5239801,127.0228273479811
15,75,112,4645,4753,84,37,2,1,2,2,1,신사동,관악구,1,0,2,2,1,1,37.4854189,126.9181169
16,141,108,3332,4130,59,36,2,1,2,2,1,압구정동,강남구,0,0,2,2,2,2,37.5316035,127.0299449
17,123,101,10578,10648,204,88,1,2,1,1,2,역삼1동,강남구,6,0,0,0,1,1,37.495394,127.033108
18,147,94,6092,6470,81,34,1,2,1,1,2,역삼2동,강남구,3,0,0,0,2,2,37.4960586,127.046966
19,56,98,1967,2498,65,22,0,0,0,0,0,일원1동,강남구,1,0,1,1,0,0,37.4920557,127.087615
20,114,91,3111,3248,80,22,2,1,2,2,1,일원2동,강남구,2,0,2,2,0,0,37.48774935,127.07083865
21,104,66,2524,3191,53,20,0,0,0,0,0,일원본동,강남구,1,0,2,2,0,0,37.48336815,127.0864944
22,142,95,3654,4773,65,21,2,1,2,2,1,청담동,강남구,3,0,0,0,0,0,37.5263605,127.0537937
23,112,158,8494,3277,84,59,1,2,1,1,2,강일동,강동구,1,0,0,0,2,2,37.5649416,127.1739152
24,147,73,3187,4865,73,30,2,1,2,2,1,고덕1동,강동구,1,0,2,2,0,0,37.5563074,127.1488895
25,170,65,3677,4061,71,29,2,1,2,2,1,고덕2동,강동구,1,0,2,2,0,0,37.5605039,127.1643845
26,209,210,6781,7559,216,72,1,2,1,1,2,길동,강동구,1,0,0,0,2,2,37.5392251,127.1462154
27,1,1,1,11,19,2,0,0,0,0,0,둔촌1동,강동구,2,0,1,1,1,1,37.5230921,127.136944
28,148,121,2990,4584,82,29,2,1,2,2,1,둔촌2동,강동구,0,0,2,2,0,0,37.5319657,127.142521
29,204,103,3917,4453,130,31,2,1,1,2,2,명일1동,강동구,2,0,2,2,0,0,37.5497586,127.14599905
30,39,42,2815,2723,32,15,0,0,0,0,0,명일2동,강동구,1,0,2,2,0,0,37.5480751,127.1300518
31,229,85,12333,4712,98,37,1,2,1,1,2,상일동,강동구,2,0,0,0,2,2,37.5518119,127.1652728
32,126,78,2879,3240,67,28,2,1,2,2,1,성내1동,강동구,1,0,2,2,1,1,37.52893,127.12503
33,132,118,3860,4521,99,47,2,1,2,2,1,성내2동,강동구,2,0,2,2,1,1,37.5329049,127.1268052
34,123,93,3639,3892,79,29,2,1,2,2,1,성내3동,강동구,1,0,2,2,1,1,37.525568,127.1317124
35,186,172,4722,5437,173,90,2,2,1,1,2,암사1동,강동구,1,0,0,0,1,1,37.55127,127.1311585
36,152,49,2196,2428,75,22,0,0,0,0,0,암사2동,강동구,1,0,1,1,0,0,37.552662,127.1273471
37,94,55,1997,2437,46,13,0,0,0,0,0,암사3동,강동구,0,0,1,1,0,0,37.554982,127.1408239022984
38,130,169,3845,4482,197,75,2,2,1,1,2,천호1동,강동구,2,0,2,2,1,1,37.5427264,127.1373558
39,175,175,5310,6557,234,72,1,2,1,1,2,천호2동,강동구,2,0,0,0,1,1,37.5385448,127.1234736
40,158,134,5240,5205,117,49,1,2,1,1,2,천호3동,강동구,1,0,0,0,0,0,37.5395191,127.1293281
41,58,137,3202,3711,64,46,2,1,2,2,1,미아동,강북구,5,1,0,0,1,1,37.6270848,127.0270683
42,61,119,2796,3293,69,47,2,1,2,2,1,번1동,강북구,1,0,2,2,1,1,37.6378469,127.0288300282459
43,54,121,1533,1949,45,22,0,0,0,0,0,번2동,강북구,0,0,1,1,1,1,37.62518,127.04868
44,51,165,1396,1933,45,33,0,0,2,0,1,번3동,강북구,0,0,1,1,0,0,37.6251367,127.0448336
45,147,108,2959,3374,60,29,2,1,2,2,1,삼각산동,강북구,1,0,2,2,2,2,37.61629165,127.0184242812736
46,107,170,2699,3377,80,45,2,1,2,2,1,삼양동,강북구,3,0,2,2,1,1,37.6273418,127.0183872
47,129,165,3499,4115,94,64,2,1,2,2,1,송중동,강북구,1,0,2,2,1,1,37.6161293,127.0337833
48,61,182,3055,3791,61,57,2,1,2,2,1,송천동,강북구,1,0,2,2,1,1,37.6183081,127.0238655
49,85,158,2843,3186,66,48,2,1,2,2,1,수유1동,강북구,1,0,2,2,1,1,37.61622,127.02204
50,76,145,2602,2673,55,45,0,1,2,2,1,수유2동,강북구,1,0,1,1,1,1,37.62518,127.04868
51,49,138,3904,4212,87,55,2,1,2,2,1,수유3동,강북구,1,0,2,2,1,1,37.6456937,127.0233309
52,75,143,2950,2999,79,53,2,1,2,2,1,우이동,강북구,2,0,2,2,1,1,37.6479732,127.0115593
53,96,217,3619,4348,86,83,2,2,1,1,2,인수동,강북구,2,0,2,2,1,1,37.6414795,127.0106302
54,202,98,8104,8180,232,40,1,2,1,1,2,가양1동,강서구,4,0,0,0,0,0,37.56946595,126.8447031597579
55,68,173,1873,2213,67,28,0,1,2,2,1,가양2동,강서구,1,0,1,1,0,0,37.5652368,126.8535763
56,163,121,1795,2215,139,24,0,1,2,2,1,가양3동,강서구,2,0,1,1,2,2,37.5652368,126.8535763
57,199,131,8731,4702,138,62,1,2,1,1,2,공항동,강서구,2,0,0,0,1,1,37.5578196,126.8119134
58,179,93,4925,4867,210,48,2,2,1,1,2,등촌1동,강서구,3,0,0,0,0,0,37.5546086,126.8592392
59,123,74,2541,3319,78,37,2,1,2,2,1,등촌2동,강서구,0,0,1,1,1,1,37.5515234,126.864002
60,191,258,3485,4273,137,44,2,2,1,1,2,등촌3동,강서구,3,0,0,0,2,2,37.5588691,126.847941
61,170,133,3795,4734,92,54,2,1,1,2,2,발산1동,강서구,3,0,0,0,2,2,37.5531474,126.8333072
